player,player_id,team,season,lg,replaced,full_team_name
LeBron James,jamesle01,West,2020,NBA,FALSE,Los Angeles Lakers
Nikola Jokić,jokicni01,West,2020,NBA,FALSE,Denver Nuggets
Kawhi Leonard,leonaka01,West,2020,NBA,FALSE,Los Angeles Clippers
Damian Lillard,lillada01,West,2020,NBA,TRUE,Milwaukee Bucks
Chris Paul,paulch01,West,2020,NBA,FALSE,Los Angeles Clippers
Domantas Sabonis,sabondo01,West,2020,NBA,FALSE,Sacramento Kings
Ben Simmons,simmobe01,West,2020,NBA,FALSE,
Jayson Tatum,tatumja01,West,2020,NBA,FALSE,Boston Celtics
Russell Westbrook,westbru01,West,2020,NBA,FALSE,Sacramento Kings
Giannis Antetokounmpo,antetgi01,East,2019,NBA,FALSE,Milwaukee Bucks
Stephen Curry,curryst01,East,2019,NBA,FALSE,Golden State Warriors
Joel Embiid,embiijo01,East,2019,NBA,FALSE,Philadelphia 76ers
Paul George,georgpa01,East,2019,NBA,FALSE,Philadelphia 76ers
Blake Griffin,griffbl01,East,2019,NBA,FALSE,Boston Celtics
Nikola Jokić,jokicni01,East,2019,NBA,FALSE,Denver Nuggets
Kyle Lowry,lowryky01,East,2019,NBA,FALSE,Philadelphia 76ers
Khris Middleton,middlkh01,East,2019,NBA,FALSE,Washington Wizards
Dirk Nowitzki,nowitdi01,East,2019,NBA,FALSE,Dallas Mavericks
Victor Oladipo,oladivi01,East,2019,NBA,TRUE,Miami Heat
D'Angelo Russell,russeda01,East,2019,NBA,FALSE,Dallas Mavericks
Nikola Vučević,vucevni01,East,2019,NBA,FALSE,Chicago Bulls
Kemba Walker,walkeke02,East,2019,NBA,FALSE,Dallas Mavericks
Russell Westbrook,westbru01,East,2019,NBA,FALSE,Sacramento Kings
LaMarcus Aldridge,aldrila01,West,2019,NBA,FALSE,Brooklyn Nets
Bradley Beal,bealbr01,West,2019,NBA,FALSE,Los Angeles Clippers
Anthony Davis,davisan02,West,2019,NBA,FALSE,Dallas Mavericks
Kevin Durant,duranke01,West,2019,NBA,FALSE,Houston Rockets
James Harden,hardeja01,West,2019,NBA,FALSE,Los Angeles Clippers
Kyrie Irving,irvinky01,West,2019,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,West,2019,NBA,FALSE,Los Angeles Lakers
Kawhi Leonard,leonaka01,West,2019,NBA,FALSE,Los Angeles Clippers
Damian Lillard,lillada01,West,2019,NBA,FALSE,Milwaukee Bucks
Ben Simmons,simmobe01,West,2019,NBA,FALSE,
Klay Thompson,thompkl01,West,2019,NBA,FALSE,Dallas Mavericks
Karl-Anthony Towns,townska01,West,2019,NBA,FALSE,New York Knicks
Dwyane Wade,wadedw01,West,2019,NBA,FALSE,Miami Heat
LaMarcus Aldridge,aldrila01,West,2018,NBA,FALSE,Brooklyn Nets
Bradley Beal,bealbr01,West,2018,NBA,FALSE,Los Angeles Clippers
DeMarcus Cousins,couside01,West,2018,NBA,TRUE,
Anthony Davis,davisan02,West,2018,NBA,FALSE,Dallas Mavericks
Goran Dragić,dragigo01,West,2018,NBA,FALSE,
Andre Drummond,drumman01,West,2018,NBA,FALSE,Philadelphia 76ers
Kevin Durant,duranke01,West,2018,NBA,FALSE,Houston Rockets
Paul George,georgpa01,West,2018,NBA,FALSE,Philadelphia 76ers
Kyrie Irving,irvinky01,West,2018,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,West,2018,NBA,FALSE,Los Angeles Lakers
Kevin Love,loveke01,West,2018,NBA,TRUE,Utah Jazz
Victor Oladipo,oladivi01,West,2018,NBA,FALSE,Miami Heat
Kristaps Porziņģis,porzikr01,West,2018,NBA,TRUE,Atlanta Hawks
Kemba Walker,walkeke02,West,2018,NBA,FALSE,Dallas Mavericks
John Wall,walljo01,West,2018,NBA,TRUE,Los Angeles Clippers
Russell Westbrook,westbru01,West,2018,NBA,FALSE,Sacramento Kings
Giannis Antetokounmpo,antetgi01,Team Stephen,2018,NBA,FALSE,Milwaukee Bucks
Jimmy Butler,butleji01,Team Stephen,2018,NBA,TRUE,Golden State Warriors
Stephen Curry,curryst01,Team Stephen,2018,NBA,FALSE,Golden State Warriors
DeMar DeRozan,derozde01,Team Stephen,2018,NBA,FALSE,Sacramento Kings
Joel Embiid,embiijo01,Team Stephen,2018,NBA,FALSE,Philadelphia 76ers
Draymond Green,greendr01,Team Stephen,2018,NBA,FALSE,Golden State Warriors
James Harden,hardeja01,Team Stephen,2018,NBA,FALSE,Los Angeles Clippers
Al Horford,horfoal01,Team Stephen,2018,NBA,FALSE,Golden State Warriors
Damian Lillard,lillada01,Team Stephen,2018,NBA,FALSE,Milwaukee Bucks
Kyle Lowry,lowryky01,Team Stephen,2018,NBA,FALSE,Philadelphia 76ers
Klay Thompson,thompkl01,Team Stephen,2018,NBA,FALSE,Dallas Mavericks
Karl-Anthony Towns,townska01,Team Stephen,2018,NBA,FALSE,New York Knicks
Giannis Antetokounmpo,antetgi01,East,2017,NBA,FALSE,Milwaukee Bucks
Carmelo Anthony,anthoca01,East,2017,NBA,FALSE,Los Angeles Lakers
Jimmy Butler,butleji01,East,2017,NBA,FALSE,Golden State Warriors
DeMar DeRozan,derozde01,East,2017,NBA,FALSE,Sacramento Kings
Paul George,georgpa01,East,2017,NBA,FALSE,Philadelphia 76ers
Kyrie Irving,irvinky01,East,2017,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,East,2017,NBA,FALSE,Los Angeles Lakers
Kevin Love,loveke01,East,2017,NBA,TRUE,Utah Jazz
Kyle Lowry,lowryky01,East,2017,NBA,FALSE,Philadelphia 76ers
Paul Millsap,millspa01,East,2017,NBA,FALSE,
Isaiah Thomas,thomais02,East,2017,NBA,FALSE,Phoenix Suns
Kemba Walker,walkeke02,East,2017,NBA,FALSE,Dallas Mavericks
John Wall,walljo01,East,2017,NBA,FALSE,Los Angeles Clippers
DeMarcus Cousins,couside01,West,2017,NBA,FALSE,
Stephen Curry,curryst01,West,2017,NBA,FALSE,Golden State Warriors
Anthony Davis,davisan02,West,2017,NBA,FALSE,Dallas Mavericks
Kevin Durant,duranke01,West,2017,NBA,FALSE,Houston Rockets
Marc Gasol,gasolma01,West,2017,NBA,FALSE,Los Angeles Lakers
Draymond Green,greendr01,West,2017,NBA,FALSE,Golden State Warriors
James Harden,hardeja01,West,2017,NBA,FALSE,Los Angeles Clippers
Gordon Hayward,haywago01,West,2017,NBA,FALSE,
DeAndre Jordan,jordade01,West,2017,NBA,FALSE,New Orleans Pelicans
Kawhi Leonard,leonaka01,West,2017,NBA,FALSE,Los Angeles Clippers
Klay Thompson,thompkl01,West,2017,NBA,FALSE,Dallas Mavericks
Russell Westbrook,westbru01,West,2017,NBA,FALSE,Sacramento Kings
Carmelo Anthony,anthoca01,East,2016,NBA,FALSE,Los Angeles Lakers
Chris Bosh,boshch01,East,2016,NBA,TRUE,Miami Heat
Jimmy Butler,butleji01,East,2016,NBA,TRUE,Golden State Warriors
DeMar DeRozan,derozde01,East,2016,NBA,FALSE,Sacramento Kings
Andre Drummond,drumman01,East,2016,NBA,FALSE,Philadelphia 76ers
Pau Gasol,gasolpa01,East,2016,NBA,FALSE,
Paul George,georgpa01,East,2016,NBA,FALSE,Philadelphia 76ers
Al Horford,horfoal01,East,2016,NBA,FALSE,Golden State Warriors
LeBron James,jamesle01,East,2016,NBA,FALSE,Los Angeles Lakers
Kyle Lowry,lowryky01,East,2016,NBA,FALSE,Philadelphia 76ers
Paul Millsap,millspa01,East,2016,NBA,FALSE,
Isaiah Thomas,thomais02,East,2016,NBA,FALSE,Phoenix Suns
Dwyane Wade,wadedw01,East,2016,NBA,FALSE,Miami Heat
John Wall,walljo01,East,2016,NBA,FALSE,Los Angeles Clippers
LaMarcus Aldridge,aldrila01,West,2016,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2016,NBA,FALSE,Los Angeles Lakers
DeMarcus Cousins,couside01,West,2016,NBA,FALSE,
Stephen Curry,curryst01,West,2016,NBA,FALSE,Golden State Warriors
Anthony Davis,davisan02,West,2016,NBA,FALSE,Dallas Mavericks
Kevin Durant,duranke01,West,2016,NBA,FALSE,Houston Rockets
Draymond Green,greendr01,West,2016,NBA,FALSE,Golden State Warriors
