college,1-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60
Louisiana College,0,0,0,0,0,0,0,0,0,0,0,2
Louisiana Tech,2,1,1,0,0,1,0,1,0,2,1,5
Louisiana-Monroe,0,1,0,0,0,1,1,0,0,0,0,6
Louisville,5,8,6,9,5,1,4,4,3,2,3,21
Loyola (MD),0,0,0,0,0,1,0,0,0,0,1,5
Loyola Chicago,1,1,2,1,1,0,1,1,0,0,1,14
Loyola Marymount,0,1,0,0,0,1,0,0,1,1,0,9
Loyola New Orleans,0,0,0,0,0,0,0,0,0,0,1,3
Lycoming College,0,0,0,0,0,0,0,0,0,0,0,1
Macalester College,0,0,0,0,0,0,0,0,0,0,0,2
Malone College,0,0,0,0,0,0,0,0,0,0,0,1
Manchester University,0,0,0,0,0,0,0,0,0,0,0,1
Manhattan University,0,0,0,1,2,0,1,0,0,0,3,14
Marietta College,0,0,0,0,0,0,0,0,0,0,0,1
Marist College,1,0,0,0,0,0,0,0,1,0,0,0
Marquette,1,1,3,3,3,3,7,6,1,4,4,24
Marshall,1,1,1,2,1,0,2,1,0,0,1,11
Maryland,7,6,4,3,2,3,5,7,4,2,3,24
Marymount College,0,0,0,0,0,0,0,0,0,0,0,1
McDaniel College,0,0,0,0,0,0,0,0,0,0,0,0
McKendree College,0,0,0,0,0,0,0,0,0,0,0,2
McMurry University,0,0,0,0,0,0,0,0,0,0,0,1
McNeese State University,0,0,0,1,0,0,3,0,1,1,0,3
Memphis,6,3,2,4,2,0,4,5,3,3,1,22
Mercer University,0,0,0,0,0,0,0,0,0,0,1,6
Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,1
Merrimack College,0,0,0,0,0,0,0,0,0,1,0,3
Miami (FL),1,0,0,2,3,1,1,2,1,3,4,8
Miami University,0,2,0,0,1,1,1,0,1,0,1,8
Michigan,6,8,8,5,5,3,5,2,8,2,4,22
Michigan State,5,2,7,4,6,3,5,1,2,5,5,21
Middle Tennessee,0,0,0,0,0,0,0,1,0,0,0,10
Midwestern State University,0,0,0,0,0,0,0,0,0,1,1,4
Miles College,0,0,0,0,0,0,0,0,0,0,0,1
Millersville,0,0,0,0,0,0,0,1,0,0,0,2
Milligan College,0,0,0,0,0,0,0,0,0,0,0,1
Millikin University,0,0,1,0,0,0,0,0,0,0,0,1
Minnesota,4,8,3,2,4,2,1,1,1,3,2,22
"Minnesota State University, Mankato",0,0,0,0,0,0,0,0,0,0,0,1
Mississippi College,0,0,0,0,0,0,0,0,1,0,0,0
Mississippi State,1,2,3,1,1,1,2,3,3,1,1,7
Mississippi Valley State University,0,0,0,0,0,0,1,1,0,1,0,2
Missouri,1,4,3,5,1,5,2,1,1,3,3,21
Missouri Southern State,0,0,0,0,0,0,0,0,0,0,0,2
Missouri State,0,0,0,0,0,1,1,1,0,1,1,4
Missouri Valley College,0,0,0,0,0,0,0,0,0,0,0,0
Missouri Western State College,0,0,0,0,0,0,0,0,0,0,0,2
Missouri-Kansas City,0,0,0,1,0,0,0,0,0,0,0,0
Missouri-St. Louis,0,0,0,0,0,0,0,0,0,0,0,2
Monmouth University,0,0,0,0,0,0,0,0,0,0,0,4
Montana,1,0,0,0,0,1,0,0,0,0,0,6
Montana State,0,0,0,0,0,0,0,0,0,0,0,10
"Montana State University, Billings",0,0,0,0,0,0,0,0,0,0,0,5
Montana-Western,0,0,0,0,0,0,0,0,0,0,0,2
Moravian College,0,0,0,0,0,0,0,0,0,0,0,1
Morehead State University,0,1,1,0,1,1,2,0,0,3,1,9
Morehouse College,0,0,0,0,0,0,0,0,0,0,0,1
Morgan State University,1,0,0,0,0,0,0,0,0,0,0,2
Morningside College,0,0,0,0,0,0,0,0,0,0,0,2
Morris Brown College,0,0,0,0,0,0,0,0,0,0,0,2
Mount St. Mary's University,0,0,1,0,0,0,0,0,1,0,0,3
Muhlenberg College,0,0,0,0,0,0,0,0,0,0,0,0
Murray State,1,0,1,0,2,0,3,0,1,1,1,12
NC Central,0,1,0,0,0,0,0,0,2,0,0,6
NC State,4,6,4,3,1,4,3,2,5,3,2,27
NYU,1,2,2,1,0,0,1,0,0,0,0,5
Nasson College,0,0,0,0,0,0,0,0,0,0,0,1
Nebraska,0,0,2,0,2,0,1,1,4,2,1,14
Nebraska-Omaha,0,0,0,0,0,1,0,0,0,0,0,1
Nevada,0,0,0,3,1,0,3,1,0,1,0,8
New Jersey City University,0,0,0,0,0,0,0,0,0,0,0,2
New Mexico,0,3,1,2,1,3,2,1,0,1,2,20
New Mexico Highlands University,0,0,0,0,0,0,0,0,0,0,0,1
New Mexico State,1,0,1,0,0,1,2,0,0,0,2,10
New Orleans,0,0,0,0,1,0,0,2,0,0,1,6
